IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.177.96,443,true,SIN,Asia Pacific,Singapore,72,7.02
8.219.231.51,443,true,SIN,Asia Pacific,Singapore,67,6.75
8.219.204.67,443,true,SIN,Asia Pacific,Singapore,72,6.71
8.222.142.103,443,true,SIN,Asia Pacific,Singapore,58,6.63
8.222.168.213,443,true,SIN,Asia Pacific,Singapore,73,6.59
8.219.250.52,443,true,SIN,Asia Pacific,Singapore,65,6.31
8.219.206.191,443,true,SIN,Asia Pacific,Singapore,72,6.25
146.56.154.219,443,true,ICN,Asia Pacific,Seoul,66,6.21
8.219.250.17,443,true,SIN,Asia Pacific,Singapore,74,6.20
8.219.210.132,443,true,SIN,Asia Pacific,Singapore,62,6.19
8.219.173.198,443,true,SIN,Asia Pacific,Singapore,72,6.18
8.219.202.133,443,true,SIN,Asia Pacific,Singapore,62,6.18
8.219.199.249,443,true,SIN,Asia Pacific,Singapore,65,6.17
8.219.231.91,443,true,SIN,Asia Pacific,Singapore,62,6.15
8.219.138.100,443,true,SIN,Asia Pacific,Singapore,62,6.12
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,46,6.10
8.219.140.150,443,true,SIN,Asia Pacific,Singapore,68,6.08
8.219.245.52,443,true,SIN,Asia Pacific,Singapore,64,6.08
8.219.154.243,443,true,SIN,Asia Pacific,Singapore,60,6.06
8.219.158.207,443,true,SIN,Asia Pacific,Singapore,71,6.04
8.219.156.209,443,true,SIN,Asia Pacific,Singapore,68,5.99
47.245.99.13,443,true,SIN,Asia Pacific,Singapore,72,5.95
8.222.129.227,443,true,SIN,Asia Pacific,Singapore,71,5.90
47.236.67.192,443,true,SIN,Asia Pacific,Singapore,68,5.90
8.222.155.112,443,true,SIN,Asia Pacific,Singapore,72,5.88
8.219.240.6,443,true,SIN,Asia Pacific,Singapore,69,5.86
8.222.162.20,443,true,SIN,Asia Pacific,Singapore,70,5.84
8.219.129.246,443,true,SIN,Asia Pacific,Singapore,66,5.81
8.219.231.131,443,true,SIN,Asia Pacific,Singapore,66,5.81
8.219.249.184,443,true,SIN,Asia Pacific,Singapore,59,5.80
47.245.98.158,443,true,SIN,Asia Pacific,Singapore,65,5.78
8.219.165.229,443,true,SIN,Asia Pacific,Singapore,67,5.75
8.222.184.73,443,true,SIN,Asia Pacific,Singapore,69,5.74
8.219.230.203,443,true,SIN,Asia Pacific,Singapore,65,5.73
193.122.101.195,443,true,ICN,Asia Pacific,Seoul,65,5.72
8.222.132.152,443,true,SIN,Asia Pacific,Singapore,64,5.71
8.222.160.168,443,true,SIN,Asia Pacific,Singapore,63,5.71
47.245.109.139,443,true,SIN,Asia Pacific,Singapore,64,5.67
8.219.134.205,443,true,SIN,Asia Pacific,Singapore,75,5.63
