IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
158.180.75.231,443,true,SIN,Asia Pacific,Singapore,1288,1.60
152.70.244.104,443,true,SIN,Asia Pacific,Singapore,260,1.56
8.222.133.242,443,true,SIN,Asia Pacific,Singapore,70,1.53
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,65,1.52
132.145.117.184,443,true,SIN,Asia Pacific,Singapore,259,1.52
146.56.102.42,443,true,SIN,Asia Pacific,Singapore,258,1.51
140.245.73.153,443,true,SIN,Asia Pacific,Singapore,256,1.51
158.179.164.136,443,true,SIN,Asia Pacific,Singapore,264,1.50
144.24.78.78,443,true,SIN,Asia Pacific,Singapore,269,1.50
158.179.170.115,443,true,SIN,Asia Pacific,Singapore,250,1.49
158.180.69.19,443,true,SIN,Asia Pacific,Singapore,1262,1.48
158.180.70.227,443,true,SIN,Asia Pacific,Singapore,261,1.47
64.110.72.246,443,true,SIN,Asia Pacific,Singapore,286,1.46
138.3.214.43,443,true,SIN,Asia Pacific,Singapore,259,1.46
130.162.129.56,443,true,SIN,Asia Pacific,Singapore,253,1.45
150.230.251.217,443,true,SIN,Asia Pacific,Singapore,267,1.44
158.180.73.92,443,true,SIN,Asia Pacific,Singapore,271,1.41
138.2.120.183,443,true,SIN,Asia Pacific,Singapore,247,1.38
138.2.84.113,443,true,SIN,Asia Pacific,Singapore,246,1.37
129.154.54.44,443,true,SIN,Asia Pacific,Singapore,258,1.36
43.156.253.94,443,true,SIN,Asia Pacific,Singapore,68,1.35
138.3.218.204,443,true,SIN,Asia Pacific,Singapore,253,1.33
138.3.211.29,443,true,SIN,Asia Pacific,Singapore,249,1.30
131.186.40.63,443,true,SIN,Asia Pacific,Singapore,246,1.26
138.2.115.11,443,true,SIN,Asia Pacific,Singapore,262,1.20
158.179.160.138,443,true,SIN,Asia Pacific,Singapore,258,1.08
131.186.23.237,443,true,SIN,Asia Pacific,Singapore,252,1.05
52.141.25.42,443,true,ICN,Asia Pacific,Seoul,98,0.90
131.186.45.39,443,true,SIN,Asia Pacific,Singapore,250,0.87
47.57.13.107,443,true,HKG,Asia Pacific,Hong Kong,1054,0.85
129.150.42.75,443,true,SIN,Asia Pacific,Singapore,256,0.83
47.243.171.8,443,true,HKG,Asia Pacific,Hong Kong,44,0.80
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,38,0.79
8.222.163.12,443,true,SIN,Asia Pacific,Singapore,74,0.78
132.226.236.37,443,true,ICN,Asia Pacific,Seoul,63,0.73
131.186.61.69,443,true,SIN,Asia Pacific,Singapore,257,0.73
8.219.241.41,443,true,SIN,Asia Pacific,Singapore,74,0.70
138.2.73.208,443,true,SIN,Asia Pacific,Singapore,259,0.69
131.186.57.194,443,true,SIN,Asia Pacific,Singapore,251,0.69
138.2.122.191,443,true,ICN,Asia Pacific,Seoul,207,0.66
168.138.165.169,443,true,SIN,Asia Pacific,Singapore,263,0.65
8.222.157.169,443,true,SIN,Asia Pacific,Singapore,66,0.64
131.186.59.89,443,true,SIN,Asia Pacific,Singapore,243,0.62
131.186.17.132,443,true,ICN,Asia Pacific,Seoul,67,0.61
217.142.131.145,443,true,ICN,Asia Pacific,Seoul,83,0.60
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,176,0.58
144.24.73.232,443,true,ICN,Asia Pacific,Seoul,227,0.57
138.3.212.199,443,true,SIN,Asia Pacific,Singapore,264,0.56
150.230.63.93,443,true,KIX,Asia Pacific,Osaka,180,0.53
146.56.186.106,443,true,ICN,Asia Pacific,Seoul,67,0.49
8.222.165.42,443,true,SIN,Asia Pacific,Singapore,69,0.48
47.245.100.62,443,true,SIN,Asia Pacific,Singapore,68,0.47
54.251.94.83,443,true,SIN,Asia Pacific,Singapore,64,0.47
54.251.117.144,443,true,SIN,Asia Pacific,Singapore,64,0.46
152.69.205.76,443,true,KIX,Asia Pacific,Osaka,181,0.46
47.236.179.39,443,true,SIN,Asia Pacific,Singapore,67,0.46
47.236.90.252,443,true,SIN,Asia Pacific,Singapore,72,0.44
131.186.60.210,443,true,NRT,Asia Pacific,Tokyo,188,0.41
158.180.89.73,443,true,ICN,Asia Pacific,Seoul,223,0.40
47.76.222.146,443,true,HKG,Asia Pacific,Hong Kong,31,0.39
144.24.78.162,443,true,ICN,Asia Pacific,Seoul,207,0.38
8.219.179.242,443,true,SIN,Asia Pacific,Singapore,64,0.32
146.56.106.158,443,true,ICN,Asia Pacific,Seoul,224,0.29
23.106.143.60,443,true,KIX,Asia Pacific,Osaka,46,0.27
146.56.148.64,443,true,ICN,Asia Pacific,Seoul,71,0.26
152.70.244.200,443,true,ICN,Asia Pacific,Seoul,61,0.26
23.106.143.60,443,true,KIX,Asia Pacific,Osaka,43,0.23
8.222.155.146,443,true,SIN,Asia Pacific,Singapore,71,0.22
34.142.173.223,443,true,SIN,Asia Pacific,Singapore,228,0.22
38.47.101.229,443,true,HKG,Asia Pacific,Hong Kong,45,0.20
168.138.194.208,443,true,NRT,Asia Pacific,Tokyo,178,0.19
152.69.228.105,443,true,ICN,Asia Pacific,Seoul,215,0.17
47.236.112.49,443,true,SIN,Asia Pacific,Singapore,66,0.16
18.183.125.149,443,true,NRT,Asia Pacific,Tokyo,36,0.16
131.186.59.85,443,true,NRT,Asia Pacific,Tokyo,180,0.14
168.138.222.208,443,true,NRT,Asia Pacific,Tokyo,175,0.13
34.92.85.64,443,true,HKG,Asia Pacific,Hong Kong,180,0.13
132.226.236.214,443,true,ICN,Asia Pacific,Seoul,67,0.13
52.76.185.185,443,true,SIN,Asia Pacific,Singapore,64,0.12
193.123.244.59,443,true,ICN,Asia Pacific,Seoul,73,0.12
131.186.33.179,443,true,NRT,Asia Pacific,Tokyo,178,0.11
158.101.142.120,443,true,NRT,Asia Pacific,Tokyo,180,0.10
54.254.189.79,443,true,SIN,Asia Pacific,Singapore,72,0.10
150.230.58.195,443,true,KIX,Asia Pacific,Osaka,182,0.10
138.3.210.218,443,true,NRT,Asia Pacific,Tokyo,188,0.09
18.183.250.242,443,true,NRT,Asia Pacific,Tokyo,39,0.09
138.2.93.229,443,true,SIN,Asia Pacific,Singapore,256,0.09
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,63,0.08
141.98.198.197,443,true,NRT,Asia Pacific,Tokyo,40,0.08
152.69.206.199,443,true,KIX,Asia Pacific,Osaka,182,0.08
47.76.136.11,443,true,HKG,Asia Pacific,Hong Kong,31,0.08
47.83.245.101,443,true,HKG,Asia Pacific,Hong Kong,42,0.07
47.76.182.87,443,true,HKG,Asia Pacific,Hong Kong,36,0.07
146.56.188.240,443,true,ICN,Asia Pacific,Seoul,63,0.06
47.76.190.53,443,true,HKG,Asia Pacific,Hong Kong,41,0.06
146.56.42.33,443,true,ICN,Asia Pacific,Seoul,73,0.05
38.47.102.135,443,true,HKG,Asia Pacific,Hong Kong,37,0.04
146.56.131.80,443,true,ICN,Asia Pacific,Seoul,78,0.04
43.156.238.115,443,true,SIN,Asia Pacific,Singapore,69,0.04
138.2.69.131,443,true,SIN,Asia Pacific,Singapore,242,0.04
8.219.172.44,443,true,SIN,Asia Pacific,Singapore,69,0.04
