IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.199.74,443,true,SIN,Asia Pacific,Singapore,65,7.69
8.219.139.7,443,true,SIN,Asia Pacific,Singapore,64,7.46
8.219.182.158,443,true,SIN,Asia Pacific,Singapore,71,7.37
8.219.135.151,443,true,SIN,Asia Pacific,Singapore,68,7.22
8.222.187.4,443,true,SIN,Asia Pacific,Singapore,72,7.19
8.219.134.80,443,true,SIN,Asia Pacific,Singapore,66,7.19
8.219.131.254,443,true,SIN,Asia Pacific,Singapore,67,7.18
8.219.182.146,443,true,SIN,Asia Pacific,Singapore,65,7.17
8.219.166.94,443,true,SIN,Asia Pacific,Singapore,66,7.04
8.219.221.46,443,true,SIN,Asia Pacific,Singapore,76,6.97
8.222.188.81,443,true,SIN,Asia Pacific,Singapore,71,6.82
8.222.142.73,443,true,SIN,Asia Pacific,Singapore,60,6.82
8.219.131.38,443,true,SIN,Asia Pacific,Singapore,67,6.74
47.76.193.130,443,true,HKG,Asia Pacific,Hong Kong,31,6.73
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,38,6.73
8.219.133.145,443,true,SIN,Asia Pacific,Singapore,71,6.72
8.219.176.222,443,true,SIN,Asia Pacific,Singapore,70,6.71
8.219.160.173,443,true,SIN,Asia Pacific,Singapore,67,6.68
8.219.238.152,443,true,SIN,Asia Pacific,Singapore,66,6.68
47.236.9.174,443,true,SIN,Asia Pacific,Singapore,72,6.59
8.219.194.234,443,true,SIN,Asia Pacific,Singapore,64,6.55
8.219.217.107,443,true,SIN,Asia Pacific,Singapore,66,6.55
8.222.144.223,443,true,SIN,Asia Pacific,Singapore,73,6.54
8.219.180.26,443,true,SIN,Asia Pacific,Singapore,61,6.53
8.219.238.72,443,true,SIN,Asia Pacific,Singapore,66,6.44
158.178.225.102,443,true,SIN,Asia Pacific,Singapore,212,6.44
8.219.174.29,443,true,SIN,Asia Pacific,Singapore,62,6.42
8.222.191.118,443,true,SIN,Asia Pacific,Singapore,65,6.39
47.236.13.250,443,true,SIN,Asia Pacific,Singapore,59,6.39
47.245.107.244,443,true,SIN,Asia Pacific,Singapore,69,6.31
8.219.131.26,443,true,SIN,Asia Pacific,Singapore,72,6.28
8.219.185.218,443,true,SIN,Asia Pacific,Singapore,74,6.28
47.245.126.27,443,true,SIN,Asia Pacific,Singapore,70,6.27
8.219.231.51,443,true,SIN,Asia Pacific,Singapore,71,6.27
