IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.222.174.102,443,true,SIN,Asia Pacific,Singapore,63,6.64
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,6.18
8.219.255.233,443,true,SIN,Asia Pacific,Singapore,64,6.11
8.219.218.55,443,true,SIN,Asia Pacific,Singapore,70,5.68
193.123.232.29,443,true,ICN,Asia Pacific,Seoul,67,5.60
8.222.170.167,443,true,SIN,Asia Pacific,Singapore,64,5.60
8.219.238.198,443,true,SIN,Asia Pacific,Singapore,68,5.59
8.222.152.122,443,true,SIN,Asia Pacific,Singapore,76,5.59
8.219.162.48,443,true,SIN,Asia Pacific,Singapore,74,5.58
8.219.197.196,443,true,SIN,Asia Pacific,Singapore,66,5.57
8.222.172.94,443,true,SIN,Asia Pacific,Singapore,68,5.57
8.219.137.150,443,true,SIN,Asia Pacific,Singapore,63,5.55
8.219.195.233,443,true,SIN,Asia Pacific,Singapore,67,5.51
8.222.131.7,443,true,SIN,Asia Pacific,Singapore,65,5.49
8.222.137.31,443,true,SIN,Asia Pacific,Singapore,66,5.49
8.219.236.150,443,true,SIN,Asia Pacific,Singapore,75,5.49
8.219.231.170,443,true,SIN,Asia Pacific,Singapore,67,5.48
8.219.253.244,443,true,SIN,Asia Pacific,Singapore,80,5.47
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,60,5.45
8.219.230.173,443,true,SIN,Asia Pacific,Singapore,62,5.44
8.222.168.240,443,true,SIN,Asia Pacific,Singapore,74,5.43
8.219.251.139,443,true,SIN,Asia Pacific,Singapore,58,5.36
8.222.160.166,443,true,SIN,Asia Pacific,Singapore,72,5.35
8.222.154.97,443,true,SIN,Asia Pacific,Singapore,72,5.35
8.219.220.30,443,true,SIN,Asia Pacific,Singapore,64,5.32
8.219.243.182,443,true,SIN,Asia Pacific,Singapore,68,5.32
8.219.230.7,443,true,SIN,Asia Pacific,Singapore,71,5.32
8.222.142.213,443,true,SIN,Asia Pacific,Singapore,67,5.31
8.219.201.66,443,true,SIN,Asia Pacific,Singapore,70,5.31
8.219.237.148,443,true,SIN,Asia Pacific,Singapore,72,5.29
8.222.172.242,443,true,SIN,Asia Pacific,Singapore,63,5.27
8.219.254.204,443,true,SIN,Asia Pacific,Singapore,69,5.26
8.219.210.70,443,true,SIN,Asia Pacific,Singapore,68,5.24
8.222.156.241,443,true,SIN,Asia Pacific,Singapore,71,5.24
8.222.138.185,443,true,SIN,Asia Pacific,Singapore,67,5.21
8.222.183.136,443,true,SIN,Asia Pacific,Singapore,68,5.19
8.222.147.94,443,true,SIN,Asia Pacific,Singapore,63,5.16
8.219.195.56,443,true,SIN,Asia Pacific,Singapore,69,5.14
8.222.181.95,443,true,SIN,Asia Pacific,Singapore,61,5.06
8.219.252.39,443,true,SIN,Asia Pacific,Singapore,65,5.05
8.219.228.66,443,true,SIN,Asia Pacific,Singapore,68,5.04
8.219.192.173,443,true,SIN,Asia Pacific,Singapore,71,5.03
8.222.174.60,443,true,SIN,Asia Pacific,Singapore,72,5.01
8.219.214.162,443,true,SIN,Asia Pacific,Singapore,65,5.00
8.219.191.187,443,true,SIN,Asia Pacific,Singapore,73,4.95
192.243.127.224,443,true,KIX,Asia Pacific,Osaka,46,4.94
8.219.215.61,443,true,SIN,Asia Pacific,Singapore,68,4.94
8.219.238.116,443,true,SIN,Asia Pacific,Singapore,73,4.92
8.219.242.60,443,true,SIN,Asia Pacific,Singapore,72,4.91
146.56.46.84,443,true,ICN,Asia Pacific,Seoul,74,4.89
8.219.247.156,443,true,SIN,Asia Pacific,Singapore,72,4.89
8.219.199.226,443,true,SIN,Asia Pacific,Singapore,72,4.85
8.219.223.57,443,true,SIN,Asia Pacific,Singapore,63,4.84
193.123.252.45,443,true,ICN,Asia Pacific,Seoul,65,4.84
8.219.196.79,443,true,SIN,Asia Pacific,Singapore,64,4.84
8.219.200.178,443,true,SIN,Asia Pacific,Singapore,74,4.82
8.219.220.37,443,true,SIN,Asia Pacific,Singapore,67,4.80
8.222.129.164,443,true,SIN,Asia Pacific,Singapore,69,4.78
146.56.152.95,443,true,ICN,Asia Pacific,Seoul,63,4.77
8.219.189.208,443,true,SIN,Asia Pacific,Singapore,63,4.77
8.219.198.77,443,true,SIN,Asia Pacific,Singapore,77,4.76
8.219.137.78,443,true,SIN,Asia Pacific,Singapore,65,4.76
8.219.255.125,443,true,SIN,Asia Pacific,Singapore,67,4.75
8.219.180.18,443,true,SIN,Asia Pacific,Singapore,65,4.74
8.219.135.175,443,true,SIN,Asia Pacific,Singapore,77,4.74
8.219.230.1,443,true,SIN,Asia Pacific,Singapore,69,4.72
8.219.241.193,443,true,SIN,Asia Pacific,Singapore,71,4.72
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,31,4.71
8.222.128.133,443,true,SIN,Asia Pacific,Singapore,61,4.71
8.219.143.128,443,true,SIN,Asia Pacific,Singapore,76,4.70
8.219.168.234,443,true,SIN,Asia Pacific,Singapore,64,4.69
8.219.166.81,443,true,SIN,Asia Pacific,Singapore,69,4.68
8.222.134.21,443,true,SIN,Asia Pacific,Singapore,74,4.66
8.219.162.28,443,true,SIN,Asia Pacific,Singapore,62,4.60
8.219.165.229,443,true,SIN,Asia Pacific,Singapore,72,4.59
138.2.81.110,443,true,SIN,Asia Pacific,Singapore,249,4.59
8.222.183.252,443,true,SIN,Asia Pacific,Singapore,65,4.56
8.219.235.142,443,true,SIN,Asia Pacific,Singapore,69,4.53
