IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,30,7.58
8.219.168.34,443,true,SIN,Asia Pacific,Singapore,73,7.53
47.245.120.2,443,true,SIN,Asia Pacific,Singapore,63,7.25
8.219.166.186,443,true,SIN,Asia Pacific,Singapore,64,7.20
47.245.105.119,443,true,SIN,Asia Pacific,Singapore,65,6.98
8.219.188.167,443,true,SIN,Asia Pacific,Singapore,60,6.93
47.245.117.34,443,true,SIN,Asia Pacific,Singapore,69,6.91
8.219.189.16,443,true,SIN,Asia Pacific,Singapore,71,6.86
8.219.129.221,443,true,SIN,Asia Pacific,Singapore,61,6.82
8.219.145.139,443,true,SIN,Asia Pacific,Singapore,71,6.81
8.219.204.190,443,true,SIN,Asia Pacific,Singapore,70,6.75
8.219.134.174,443,true,SIN,Asia Pacific,Singapore,64,6.72
146.56.135.183,443,true,ICN,Asia Pacific,Seoul,71,6.72
8.222.150.29,443,true,SIN,Asia Pacific,Singapore,67,6.72
8.219.196.225,443,true,SIN,Asia Pacific,Singapore,65,6.70
8.222.180.40,443,true,SIN,Asia Pacific,Singapore,74,6.68
130.162.147.197,443,true,ICN,Asia Pacific,Seoul,64,6.67
8.219.142.180,443,true,SIN,Asia Pacific,Singapore,61,6.64
8.219.201.68,443,true,SIN,Asia Pacific,Singapore,74,6.56
47.245.108.206,443,true,SIN,Asia Pacific,Singapore,66,6.56
8.219.195.68,443,true,SIN,Asia Pacific,Singapore,67,6.55
8.219.198.76,443,true,SIN,Asia Pacific,Singapore,74,6.54
8.219.192.15,443,true,SIN,Asia Pacific,Singapore,67,6.51
47.245.96.127,443,true,SIN,Asia Pacific,Singapore,69,6.47
8.222.188.0,443,true,SIN,Asia Pacific,Singapore,77,6.44
8.219.163.180,443,true,SIN,Asia Pacific,Singapore,62,6.39
193.123.226.165,443,true,ICN,Asia Pacific,Seoul,64,6.29
8.219.136.194,443,true,SIN,Asia Pacific,Singapore,64,6.23
8.219.129.246,443,true,SIN,Asia Pacific,Singapore,66,6.20
8.219.135.90,443,true,SIN,Asia Pacific,Singapore,76,6.18
8.219.174.113,443,true,SIN,Asia Pacific,Singapore,64,6.14
8.222.171.209,443,true,SIN,Asia Pacific,Singapore,71,6.13
168.138.178.96,443,true,SIN,Asia Pacific,Singapore,258,6.09
8.222.169.168,443,true,SIN,Asia Pacific,Singapore,69,6.08
8.219.209.26,443,true,SIN,Asia Pacific,Singapore,66,6.05
8.222.150.244,443,true,SIN,Asia Pacific,Singapore,70,5.98
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,46,5.95
8.219.153.233,443,true,SIN,Asia Pacific,Singapore,70,5.82
8.222.143.175,443,true,SIN,Asia Pacific,Singapore,65,5.79
8.219.132.123,443,true,SIN,Asia Pacific,Singapore,64,5.79
8.219.205.36,443,true,SIN,Asia Pacific,Singapore,70,5.76
8.222.154.16,443,true,SIN,Asia Pacific,Singapore,73,5.73
8.219.222.245,443,true,SIN,Asia Pacific,Singapore,74,5.72
168.138.166.22,443,true,SIN,Asia Pacific,Singapore,267,5.67
8.219.248.173,443,true,SIN,Asia Pacific,Singapore,69,5.66
8.219.220.45,443,true,SIN,Asia Pacific,Singapore,68,5.65
8.222.131.102,443,true,SIN,Asia Pacific,Singapore,66,5.64
8.222.136.208,443,true,SIN,Asia Pacific,Singapore,64,5.61
8.219.169.154,443,true,SIN,Asia Pacific,Singapore,70,5.61
47.245.96.79,443,true,SIN,Asia Pacific,Singapore,70,5.58
47.236.64.149,443,true,SIN,Asia Pacific,Singapore,60,5.57
8.219.140.176,443,true,SIN,Asia Pacific,Singapore,70,5.55
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,38,5.52
8.219.248.136,443,true,SIN,Asia Pacific,Singapore,62,5.49
