IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.145.160,443,true,SIN,Asia Pacific,Singapore,67,7.52
8.219.160.244,443,true,SIN,Asia Pacific,Singapore,73,7.31
8.219.169.23,443,true,SIN,Asia Pacific,Singapore,65,7.05
47.245.120.143,443,true,SIN,Asia Pacific,Singapore,67,6.98
8.222.189.35,443,true,SIN,Asia Pacific,Singapore,64,6.97
8.219.145.231,443,true,SIN,Asia Pacific,Singapore,69,6.85
8.219.181.162,443,true,SIN,Asia Pacific,Singapore,70,6.78
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,6.71
8.219.166.158,443,true,SIN,Asia Pacific,Singapore,69,6.66
8.219.188.214,443,true,SIN,Asia Pacific,Singapore,67,6.66
8.222.128.1,443,true,SIN,Asia Pacific,Singapore,73,6.66
8.219.158.245,443,true,SIN,Asia Pacific,Singapore,70,6.65
8.219.237.232,443,true,SIN,Asia Pacific,Singapore,71,6.63
8.219.220.251,443,true,SIN,Asia Pacific,Singapore,65,6.62
8.219.253.228,443,true,SIN,Asia Pacific,Singapore,62,6.53
146.56.191.54,443,true,ICN,Asia Pacific,Seoul,72,6.53
8.222.174.12,443,true,SIN,Asia Pacific,Singapore,66,6.53
8.219.202.132,443,true,SIN,Asia Pacific,Singapore,65,6.53
8.222.142.227,443,true,SIN,Asia Pacific,Singapore,67,6.50
8.219.160.67,443,true,SIN,Asia Pacific,Singapore,66,6.49
8.219.166.153,443,true,SIN,Asia Pacific,Singapore,72,6.47
8.219.223.244,443,true,SIN,Asia Pacific,Singapore,66,6.47
8.219.139.93,443,true,SIN,Asia Pacific,Singapore,69,6.45
8.222.191.91,443,true,SIN,Asia Pacific,Singapore,64,6.40
8.219.197.239,443,true,SIN,Asia Pacific,Singapore,69,6.34
47.245.108.250,443,true,SIN,Asia Pacific,Singapore,70,6.32
8.222.185.226,443,true,SIN,Asia Pacific,Singapore,66,6.29
47.245.116.154,443,true,SIN,Asia Pacific,Singapore,74,6.29
8.222.184.90,443,true,SIN,Asia Pacific,Singapore,69,6.27
8.219.238.116,443,true,SIN,Asia Pacific,Singapore,68,6.26
8.219.239.223,443,true,SIN,Asia Pacific,Singapore,68,6.23
8.219.201.145,443,true,SIN,Asia Pacific,Singapore,66,6.22
8.222.130.233,443,true,SIN,Asia Pacific,Singapore,72,6.20
146.56.167.78,443,true,ICN,Asia Pacific,Seoul,72,6.20
47.245.116.67,443,true,SIN,Asia Pacific,Singapore,68,6.19
8.219.194.167,443,true,SIN,Asia Pacific,Singapore,72,6.13
8.219.194.153,443,true,SIN,Asia Pacific,Singapore,71,6.09
8.222.154.148,443,true,SIN,Asia Pacific,Singapore,60,6.03
8.219.210.241,443,true,SIN,Asia Pacific,Singapore,73,6.00
8.219.201.133,443,true,SIN,Asia Pacific,Singapore,71,5.99
8.222.152.236,443,true,SIN,Asia Pacific,Singapore,68,5.97
8.222.143.161,443,true,SIN,Asia Pacific,Singapore,67,5.90
47.245.96.140,443,true,SIN,Asia Pacific,Singapore,71,5.87
8.222.137.70,443,true,SIN,Asia Pacific,Singapore,68,5.85
47.236.112.116,443,true,SIN,Asia Pacific,Singapore,74,5.85
8.219.218.112,443,true,SIN,Asia Pacific,Singapore,66,5.84
8.219.151.234,443,true,SIN,Asia Pacific,Singapore,68,5.83
8.219.232.80,443,true,SIN,Asia Pacific,Singapore,62,5.82
8.219.248.153,443,true,SIN,Asia Pacific,Singapore,67,5.80
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,29,5.71
8.222.128.78,443,true,SIN,Asia Pacific,Singapore,66,5.69
132.226.239.212,443,true,ICN,Asia Pacific,Seoul,1065,5.66
8.222.173.2,443,true,SIN,Asia Pacific,Singapore,71,5.66
47.236.9.40,443,true,SIN,Asia Pacific,Singapore,63,5.65
47.236.119.149,443,true,SIN,Asia Pacific,Singapore,60,5.62
8.219.251.106,443,true,SIN,Asia Pacific,Singapore,67,5.58
8.222.134.222,443,true,SIN,Asia Pacific,Singapore,71,5.57
8.219.167.35,443,true,SIN,Asia Pacific,Singapore,68,5.56
47.245.105.131,443,true,SIN,Asia Pacific,Singapore,65,5.52
8.222.170.175,443,true,SIN,Asia Pacific,Singapore,65,5.47
138.2.94.129,443,true,SIN,Asia Pacific,Singapore,103,5.44
8.219.133.61,443,true,SIN,Asia Pacific,Singapore,76,5.44
8.222.163.39,443,true,SIN,Asia Pacific,Singapore,68,5.42
8.219.205.248,443,true,SIN,Asia Pacific,Singapore,69,5.40
47.245.105.192,443,true,SIN,Asia Pacific,Singapore,64,5.39
8.219.241.75,443,true,SIN,Asia Pacific,Singapore,74,5.37
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,39,5.34
8.222.150.139,443,true,SIN,Asia Pacific,Singapore,64,5.32
8.222.164.218,443,true,SIN,Asia Pacific,Singapore,61,5.30
8.222.170.211,443,true,SIN,Asia Pacific,Singapore,71,5.25
217.142.147.208,443,true,ICN,Asia Pacific,Seoul,98,5.19
8.219.141.20,443,true,SIN,Asia Pacific,Singapore,1077,5.18
8.222.142.3,443,true,SIN,Asia Pacific,Singapore,72,5.12
8.219.134.157,443,true,SIN,Asia Pacific,Singapore,62,5.11
8.219.236.246,443,true,SIN,Asia Pacific,Singapore,62,5.03
132.226.229.188,443,true,ICN,Asia Pacific,Seoul,71,4.99
8.219.162.156,443,true,SIN,Asia Pacific,Singapore,58,4.92
8.219.172.35,443,true,SIN,Asia Pacific,Singapore,69,4.91
8.222.146.234,443,true,SIN,Asia Pacific,Singapore,72,4.86
8.222.140.121,443,true,SIN,Asia Pacific,Singapore,70,4.84
8.219.134.72,443,true,SIN,Asia Pacific,Singapore,70,4.81
193.123.237.235,443,true,ICN,Asia Pacific,Seoul,68,4.81
8.219.135.238,443,true,SIN,Asia Pacific,Singapore,66,4.75
8.219.164.110,443,true,SIN,Asia Pacific,Singapore,66,4.73
8.219.141.217,443,true,SIN,Asia Pacific,Singapore,1081,4.66
47.236.117.89,443,true,SIN,Asia Pacific,Singapore,61,4.56
8.219.131.75,443,true,SIN,Asia Pacific,Singapore,71,4.50
8.219.131.250,443,true,SIN,Asia Pacific,Singapore,69,4.33
8.219.175.120,443,true,SIN,Asia Pacific,Singapore,72,4.25
8.219.133.8,443,true,SIN,Asia Pacific,Singapore,1078,4.18
8.219.129.187,443,true,SIN,Asia Pacific,Singapore,71,3.93
8.219.186.86,443,true,SIN,Asia Pacific,Singapore,71,3.50
152.69.232.14,443,true,ICN,Asia Pacific,Seoul,202,3.24
47.239.14.220,443,true,HKG,Asia Pacific,Hong Kong,29,3.07
138.3.210.24,443,true,NRT,Asia Pacific,Tokyo,183,3.04
152.69.231.46,443,true,ICN,Asia Pacific,Seoul,203,3.03
144.24.77.131,443,true,ICN,Asia Pacific,Seoul,227,2.92
158.180.89.113,443,true,SIN,Asia Pacific,Singapore,263,2.79
158.180.77.169,443,true,ICN,Asia Pacific,Seoul,219,2.76
8.219.144.113,443,true,SIN,Asia Pacific,Singapore,58,2.74
144.24.84.227,443,true,ICN,Asia Pacific,Seoul,223,2.73
140.245.66.31,443,true,ICN,Asia Pacific,Seoul,233,2.66
152.70.243.99,443,true,SIN,Asia Pacific,Singapore,252,2.63
158.178.225.223,443,true,SIN,Asia Pacific,Singapore,110,2.56
150.230.203.201,443,true,SIN,Asia Pacific,Singapore,241,2.56
152.67.221.128,443,true,SIN,Asia Pacific,Singapore,255,2.48
150.230.216.29,443,true,SIN,Asia Pacific,Singapore,250,2.48
144.24.83.39,443,true,ICN,Asia Pacific,Seoul,227,2.48
152.70.247.106,443,true,SIN,Asia Pacific,Singapore,252,2.45
158.180.76.140,443,true,ICN,Asia Pacific,Seoul,217,2.45
131.186.56.143,443,true,SIN,Asia Pacific,Singapore,252,2.38
146.56.187.189,443,true,SIN,Asia Pacific,Singapore,265,2.36
146.56.161.188,443,true,SIN,Asia Pacific,Singapore,248,2.33
152.69.224.39,443,true,SIN,Asia Pacific,Singapore,251,2.31
146.56.101.141,443,true,ICN,Asia Pacific,Seoul,225,2.29
144.24.65.244,443,true,ICN,Asia Pacific,Seoul,216,2.28
217.142.141.52,443,true,ICN,Asia Pacific,Seoul,78,2.24
158.101.131.62,443,true,SIN,Asia Pacific,Singapore,243,2.24
168.138.221.249,443,true,SIN,Asia Pacific,Singapore,249,2.24
155.248.165.229,443,true,SIN,Asia Pacific,Singapore,253,2.24
144.24.91.249,443,true,SIN,Asia Pacific,Singapore,266,2.23
146.56.41.107,443,true,SIN,Asia Pacific,Singapore,266,2.21
144.24.87.34,443,true,ICN,Asia Pacific,Seoul,202,2.20
193.123.224.9,443,true,SIN,Asia Pacific,Singapore,251,2.18
146.56.164.159,443,true,SIN,Asia Pacific,Singapore,257,2.14
155.248.168.70,443,true,SIN,Asia Pacific,Singapore,246,2.14
144.24.83.224,443,true,SIN,Asia Pacific,Singapore,264,2.13
168.138.162.187,443,true,SIN,Asia Pacific,Singapore,250,2.12
144.24.92.94,443,true,SIN,Asia Pacific,Singapore,287,2.12
150.230.210.87,443,true,SIN,Asia Pacific,Singapore,250,2.11
150.230.212.54,443,true,SIN,Asia Pacific,Singapore,244,2.09
131.186.63.163,443,true,SIN,Asia Pacific,Singapore,239,2.03
140.245.79.215,443,true,SIN,Asia Pacific,Singapore,252,2.02
150.230.192.13,443,true,SIN,Asia Pacific,Singapore,263,2.02
140.245.70.111,443,true,SIN,Asia Pacific,Singapore,261,2.02
138.2.127.31,443,true,ICN,Asia Pacific,Seoul,216,1.99
146.56.156.199,443,true,SIN,Asia Pacific,Singapore,268,1.98
150.230.216.124,443,true,SIN,Asia Pacific,Singapore,252,1.97
193.122.119.30,443,true,SIN,Asia Pacific,Singapore,257,1.94
64.110.74.196,443,true,SIN,Asia Pacific,Singapore,290,1.91
144.24.90.107,443,true,ICN,Asia Pacific,Seoul,215,1.90
8.222.133.242,443,true,SIN,Asia Pacific,Singapore,73,1.89
193.123.254.197,443,true,SIN,Asia Pacific,Singapore,271,1.87
144.24.84.180,443,true,SIN,Asia Pacific,Singapore,1278,1.86
155.248.161.215,443,true,SIN,Asia Pacific,Singapore,252,1.85
193.123.230.32,443,true,SIN,Asia Pacific,Singapore,266,1.85
131.186.45.7,443,true,SIN,Asia Pacific,Singapore,261,1.83
140.245.78.183,443,true,SIN,Asia Pacific,Singapore,250,1.82
150.230.215.116,443,true,SIN,Asia Pacific,Singapore,254,1.82
158.180.65.96,443,true,SIN,Asia Pacific,Singapore,254,1.82
152.67.222.250,443,true,ICN,Asia Pacific,Seoul,203,1.81
152.67.203.34,443,true,ICN,Asia Pacific,Seoul,219,1.80
158.180.68.96,443,true,SIN,Asia Pacific,Singapore,271,1.80
193.123.255.70,443,true,SIN,Asia Pacific,Singapore,269,1.77
158.180.91.61,443,true,SIN,Asia Pacific,Singapore,275,1.74
193.122.112.124,443,true,SIN,Asia Pacific,Singapore,256,1.73
158.180.72.5,443,true,SIN,Asia Pacific,Singapore,271,1.72
155.248.181.113,443,true,SIN,Asia Pacific,Singapore,255,1.70
146.56.167.222,443,true,SIN,Asia Pacific,Singapore,250,1.69
217.142.148.159,443,true,SIN,Asia Pacific,Singapore,267,1.69
146.56.36.51,443,true,SIN,Asia Pacific,Singapore,267,1.69
158.180.84.103,443,true,SIN,Asia Pacific,Singapore,264,1.66
8.219.153.246,443,true,SIN,Asia Pacific,Singapore,66,1.64
217.142.143.82,443,true,SIN,Asia Pacific,Singapore,273,1.64
217.142.132.240,443,true,SIN,Asia Pacific,Singapore,291,1.64
152.67.204.163,443,true,SIN,Asia Pacific,Singapore,265,1.64
8.219.181.95,443,true,SIN,Asia Pacific,Singapore,68,1.61
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,199,1.59
138.3.216.130,443,true,SIN,Asia Pacific,Singapore,240,1.58
158.180.89.181,443,true,SIN,Asia Pacific,Singapore,273,1.57
152.70.244.111,443,true,SIN,Asia Pacific,Singapore,255,1.57
152.69.233.183,443,true,SIN,Asia Pacific,Singapore,1265,1.55
217.142.143.122,443,true,SIN,Asia Pacific,Singapore,284,1.54
150.230.209.196,443,true,SIN,Asia Pacific,Singapore,260,1.52
152.67.200.227,443,true,SIN,Asia Pacific,Singapore,249,1.49
140.245.66.90,443,true,SIN,Asia Pacific,Singapore,274,1.47
158.180.86.22,443,true,SIN,Asia Pacific,Singapore,253,1.42
64.110.89.253,443,true,SIN,Asia Pacific,Singapore,272,1.39
217.142.135.180,443,true,SIN,Asia Pacific,Singapore,303,1.39
130.162.128.103,443,true,SIN,Asia Pacific,Singapore,263,1.38
23.26.217.213,443,true,HKG,Asia Pacific,Hong Kong,252,1.36
138.2.115.217,443,true,SIN,Asia Pacific,Singapore,265,1.36
129.150.51.134,443,true,SIN,Asia Pacific,Singapore,111,1.31
129.154.62.88,443,true,SIN,Asia Pacific,Singapore,263,1.30
64.110.79.188,443,true,ICN,Asia Pacific,Seoul,87,1.28
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,258,1.24
155.248.173.41,443,true,SIN,Asia Pacific,Singapore,254,1.19
130.162.152.34,443,true,SIN,Asia Pacific,Singapore,253,1.09
130.162.131.185,443,true,SIN,Asia Pacific,Singapore,284,1.05
130.162.134.228,443,true,SIN,Asia Pacific,Singapore,264,1.05
144.24.89.61,443,true,SIN,Asia Pacific,Singapore,261,1.01
54.251.94.83,443,true,SIN,Asia Pacific,Singapore,59,1.00
146.56.153.57,443,true,SIN,Asia Pacific,Singapore,269,0.98
130.162.128.84,443,true,SIN,Asia Pacific,Singapore,251,0.95
131.186.33.175,443,true,NRT,Asia Pacific,Tokyo,174,0.94
130.162.150.131,443,true,ICN,Asia Pacific,Seoul,67,0.94
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,61,0.93
175.41.148.129,443,true,SIN,Asia Pacific,Singapore,68,0.93
129.154.54.121,443,true,ICN,Asia Pacific,Seoul,230,0.86
8.222.157.169,443,true,SIN,Asia Pacific,Singapore,72,0.83
143.42.66.91,443,true,SIN,Asia Pacific,Singapore,338,0.82
8.222.180.229,443,true,SIN,Asia Pacific,Singapore,64,0.76
8.222.158.140,443,true,SIN,Asia Pacific,Singapore,68,0.74
158.101.148.105,443,true,NRT,Asia Pacific,Tokyo,172,0.72
129.154.51.236,443,true,ICN,Asia Pacific,Seoul,217,0.71
131.186.30.210,443,true,SIN,Asia Pacific,Singapore,249,0.69
8.222.163.12,443,true,SIN,Asia Pacific,Singapore,70,0.69
129.154.52.145,443,true,ICN,Asia Pacific,Seoul,228,0.61
129.150.42.75,443,true,SIN,Asia Pacific,Singapore,248,0.58
138.3.210.218,443,true,NRT,Asia Pacific,Tokyo,176,0.55
158.180.89.73,443,true,ICN,Asia Pacific,Seoul,198,0.53
156.230.12.71,443,true,HKG,Asia Pacific,Hong Kong,144,0.52
217.142.236.93,443,true,KIX,Asia Pacific,Osaka,202,0.51
47.245.100.62,443,true,SIN,Asia Pacific,Singapore,68,0.48
8.222.165.42,443,true,SIN,Asia Pacific,Singapore,62,0.48
146.56.186.106,443,true,ICN,Asia Pacific,Seoul,64,0.48
144.24.73.232,443,true,ICN,Asia Pacific,Seoul,213,0.47
38.47.101.229,443,true,HKG,Asia Pacific,Hong Kong,47,0.47
152.69.205.76,443,true,KIX,Asia Pacific,Osaka,208,0.47
43.156.253.94,443,true,SIN,Asia Pacific,Singapore,67,0.44
47.236.90.252,443,true,SIN,Asia Pacific,Singapore,68,0.43
47.236.179.39,443,true,SIN,Asia Pacific,Singapore,69,0.42
8.219.241.41,443,true,SIN,Asia Pacific,Singapore,75,0.41
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,186,0.41
144.24.78.162,443,true,ICN,Asia Pacific,Seoul,222,0.40
158.180.65.145,443,true,ICN,Asia Pacific,Seoul,217,0.38
54.251.117.144,443,true,SIN,Asia Pacific,Singapore,65,0.38
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,171,0.38
8.219.179.242,443,true,SIN,Asia Pacific,Singapore,64,0.38
43.156.116.194,443,true,SIN,Asia Pacific,Singapore,224,0.34
143.42.65.117,443,true,SIN,Asia Pacific,Singapore,351,0.29
47.76.222.146,443,true,HKG,Asia Pacific,Hong Kong,29,0.29
8.219.151.107,443,true,SIN,Asia Pacific,Singapore,64,0.27
