IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,31,2.10
47.239.14.220,443,true,HKG,Asia Pacific,Hong Kong,33,2.06
8.219.239.208,443,true,SIN,Asia Pacific,Singapore,63,2.00
8.219.207.138,443,true,SIN,Asia Pacific,Singapore,69,2.00
8.219.149.76,443,true,SIN,Asia Pacific,Singapore,67,1.99
8.222.148.44,443,true,SIN,Asia Pacific,Singapore,73,1.99
8.219.165.39,443,true,SIN,Asia Pacific,Singapore,65,1.99
8.219.239.9,443,true,SIN,Asia Pacific,Singapore,64,1.99
8.219.184.94,443,true,SIN,Asia Pacific,Singapore,72,1.99
47.236.67.152,443,true,SIN,Asia Pacific,Singapore,62,1.98
8.219.157.172,443,true,SIN,Asia Pacific,Singapore,63,1.98
47.245.105.190,443,true,SIN,Asia Pacific,Singapore,96,1.98
8.222.136.240,443,true,SIN,Asia Pacific,Singapore,68,1.98
8.219.146.144,443,true,SIN,Asia Pacific,Singapore,73,1.98
8.222.149.222,443,true,SIN,Asia Pacific,Singapore,68,1.98
47.245.114.222,443,true,SIN,Asia Pacific,Singapore,65,1.98
8.219.129.255,443,true,SIN,Asia Pacific,Singapore,70,1.98
8.222.167.74,443,true,SIN,Asia Pacific,Singapore,64,1.98
8.222.136.216,443,true,SIN,Asia Pacific,Singapore,64,1.98
47.236.25.73,443,true,SIN,Asia Pacific,Singapore,60,1.98
8.219.246.19,443,true,SIN,Asia Pacific,Singapore,66,1.98
47.245.105.47,443,true,SIN,Asia Pacific,Singapore,63,1.97
8.222.128.74,443,true,SIN,Asia Pacific,Singapore,64,1.97
8.219.178.104,443,true,SIN,Asia Pacific,Singapore,68,1.97
8.219.135.74,443,true,SIN,Asia Pacific,Singapore,70,1.97
47.236.68.10,443,true,SIN,Asia Pacific,Singapore,64,1.97
8.222.167.209,443,true,SIN,Asia Pacific,Singapore,65,1.97
47.236.12.67,443,true,SIN,Asia Pacific,Singapore,70,1.97
47.236.15.35,443,true,SIN,Asia Pacific,Singapore,68,1.97
8.219.139.163,443,true,SIN,Asia Pacific,Singapore,64,1.97
8.222.154.230,443,true,SIN,Asia Pacific,Singapore,66,1.97
8.222.168.100,443,true,SIN,Asia Pacific,Singapore,68,1.97
146.56.187.250,443,true,ICN,Asia Pacific,Seoul,61,1.96
47.236.117.146,443,true,SIN,Asia Pacific,Singapore,81,1.96
8.219.161.123,443,true,SIN,Asia Pacific,Singapore,66,1.96
8.219.133.206,443,true,SIN,Asia Pacific,Singapore,71,1.96
8.222.134.95,443,true,SIN,Asia Pacific,Singapore,73,1.96
47.245.108.170,443,true,SIN,Asia Pacific,Singapore,71,1.96
