IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
43.129.171.137,443,true,HKG,Asia Pacific,Hong Kong,36,6.39
47.236.7.27,443,true,SIN,Asia Pacific,Singapore,67,6.21
8.222.181.232,443,true,SIN,Asia Pacific,Singapore,69,5.95
47.236.123.182,443,true,SIN,Asia Pacific,Singapore,62,5.93
8.222.163.216,443,true,SIN,Asia Pacific,Singapore,67,5.91
8.219.205.14,443,true,SIN,Asia Pacific,Singapore,60,5.79
47.245.105.202,443,true,SIN,Asia Pacific,Singapore,64,5.77
217.142.137.68,443,true,ICN,Asia Pacific,Seoul,89,5.76
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,5.72
47.236.123.8,443,true,SIN,Asia Pacific,Singapore,65,5.66
47.236.30.169,443,true,SIN,Asia Pacific,Singapore,1098,5.65
47.245.97.190,443,true,SIN,Asia Pacific,Singapore,61,5.64
8.222.178.173,443,true,SIN,Asia Pacific,Singapore,69,5.63
8.222.167.209,443,true,SIN,Asia Pacific,Singapore,71,5.53
8.219.201.199,443,true,SIN,Asia Pacific,Singapore,64,5.52
8.219.205.36,443,true,SIN,Asia Pacific,Singapore,72,5.50
8.219.206.191,443,true,SIN,Asia Pacific,Singapore,65,5.49
8.222.166.116,443,true,SIN,Asia Pacific,Singapore,65,5.47
8.219.212.99,443,true,SIN,Asia Pacific,Singapore,63,5.47
8.219.190.178,443,true,SIN,Asia Pacific,Singapore,68,5.46
8.219.191.118,443,true,SIN,Asia Pacific,Singapore,69,5.41
8.219.137.217,443,true,SIN,Asia Pacific,Singapore,62,5.39
8.219.204.70,443,true,SIN,Asia Pacific,Singapore,61,5.38
8.222.162.191,443,true,SIN,Asia Pacific,Singapore,65,5.36
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,48,5.36
8.219.209.54,443,true,SIN,Asia Pacific,Singapore,60,5.33
8.222.129.75,443,true,SIN,Asia Pacific,Singapore,64,5.29
47.236.9.41,443,true,SIN,Asia Pacific,Singapore,72,5.28
8.219.151.106,443,true,SIN,Asia Pacific,Singapore,66,5.28
8.222.152.240,443,true,SIN,Asia Pacific,Singapore,69,5.28
8.219.190.97,443,true,SIN,Asia Pacific,Singapore,69,5.25
8.219.152.69,443,true,SIN,Asia Pacific,Singapore,63,5.24
8.219.220.45,443,true,SIN,Asia Pacific,Singapore,66,5.23
8.222.188.218,443,true,SIN,Asia Pacific,Singapore,66,5.23
8.219.199.249,443,true,SIN,Asia Pacific,Singapore,70,5.23
8.219.214.153,443,true,SIN,Asia Pacific,Singapore,70,5.22
47.236.117.227,443,true,SIN,Asia Pacific,Singapore,69,5.20
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,31,5.15
47.245.112.178,443,true,SIN,Asia Pacific,Singapore,73,5.15
8.219.244.216,443,true,SIN,Asia Pacific,Singapore,71,5.14
47.245.103.50,443,true,SIN,Asia Pacific,Singapore,73,5.14
8.219.172.88,443,true,SIN,Asia Pacific,Singapore,64,5.13
8.219.217.103,443,true,SIN,Asia Pacific,Singapore,66,5.12
8.219.146.94,443,true,SIN,Asia Pacific,Singapore,66,5.10
