IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
199.34.228.7,443,true,LAX,North America,Los Angeles,165,5.17
45.131.209.197,443,true,LAX,North America,Los Angeles,175,4.99
45.131.211.208,443,true,LAX,North America,Los Angeles,182,4.88
45.131.211.149,443,true,LAX,North America,Los Angeles,173,4.81
38.47.117.77,443,true,LAX,North America,Los Angeles,135,4.79
108.162.194.95,443,true,LAX,North America,Los Angeles,186,4.76
45.131.210.183,443,true,LAX,North America,Los Angeles,166,4.74
44.31.62.2,443,true,SJC,North America,San Jose,148,4.71
45.202.113.166,443,true,LAX,North America,Los Angeles,179,4.66
135.84.64.202,443,true,LAX,North America,Los Angeles,175,4.65
199.34.228.13,443,true,LAX,North America,Los Angeles,184,4.65
45.131.208.62,443,true,LAX,North America,Los Angeles,173,4.62
45.131.211.73,443,true,LAX,North America,Los Angeles,166,4.58
31.12.75.248,443,true,LAX,North America,Los Angeles,174,4.53
199.34.230.41,443,true,LAX,North America,Los Angeles,177,4.50
45.202.113.243,443,true,LAX,North America,Los Angeles,181,4.50
173.245.59.229,443,true,LAX,North America,Los Angeles,1289,4.47
108.162.194.119,443,true,LAX,North America,Los Angeles,180,4.45
45.131.211.210,443,true,LAX,North America,Los Angeles,186,4.45
45.202.113.84,443,true,LAX,North America,Los Angeles,170,4.43
5.10.247.145,443,true,LAX,North America,Los Angeles,185,4.42
45.131.209.136,443,true,LAX,North America,Los Angeles,192,4.38
108.162.194.135,443,true,LAX,North America,Los Angeles,176,4.38
130.250.137.182,443,true,LAX,North America,Los Angeles,177,4.36
173.245.59.98,443,true,LAX,North America,Los Angeles,247,4.35
45.131.209.88,443,true,LAX,North America,Los Angeles,177,4.34
173.245.59.165,443,true,LAX,North America,Los Angeles,195,4.33
173.245.59.177,443,true,LAX,North America,Los Angeles,185,4.33
199.34.230.34,443,true,LAX,North America,Los Angeles,1255,4.32
45.131.211.115,443,true,LAX,North America,Los Angeles,174,4.31
108.162.194.116,443,true,LAX,North America,Los Angeles,168,4.31
45.131.211.78,443,true,LAX,North America,Los Angeles,183,4.23
45.202.113.168,443,true,LAX,North America,Los Angeles,177,4.23
199.34.229.195,443,true,LAX,North America,Los Angeles,258,4.23
45.131.210.187,443,true,LAX,North America,Los Angeles,169,4.23
45.131.208.119,443,true,LAX,North America,Los Angeles,171,4.22
199.34.230.218,443,true,LAX,North America,Los Angeles,185,4.21
38.47.117.85,443,true,LAX,North America,Los Angeles,137,4.15
135.84.64.238,443,true,LAX,North America,Los Angeles,176,4.13
45.131.211.148,443,true,LAX,North America,Los Angeles,187,4.13
130.250.137.19,443,true,LAX,North America,Los Angeles,179,4.12
130.250.137.145,443,true,LAX,North America,Los Angeles,178,4.12
45.131.210.6,443,true,LAX,North America,Los Angeles,176,4.10
5.10.247.186,443,true,LAX,North America,Los Angeles,169,4.10
199.34.229.172,443,true,LAX,North America,Los Angeles,248,4.10
45.131.211.150,443,true,LAX,North America,Los Angeles,180,4.09
108.162.194.133,443,true,LAX,North America,Los Angeles,181,4.09
108.162.194.77,443,true,LAX,North America,Los Angeles,179,4.09
130.250.137.128,443,true,LAX,North America,Los Angeles,179,4.09
108.162.194.153,443,true,LAX,North America,Los Angeles,183,4.08
31.12.75.29,443,true,LAX,North America,Los Angeles,184,4.06
45.131.211.151,443,true,LAX,North America,Los Angeles,167,4.05
130.250.137.126,443,true,LAX,North America,Los Angeles,178,4.03
108.162.194.145,443,true,LAX,North America,Los Angeles,189,4.03
199.34.228.195,443,true,LAX,North America,Los Angeles,180,4.02
135.84.74.103,443,true,LAX,North America,Los Angeles,172,4.00
199.34.228.147,443,true,LAX,North America,Los Angeles,174,4.00
