IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.231.51,443,true,SIN,Asia Pacific,Singapore,67,7.59
8.219.255.60,443,true,SIN,Asia Pacific,Singapore,64,7.48
8.222.182.83,443,true,SIN,Asia Pacific,Singapore,70,7.40
8.222.182.20,443,true,SIN,Asia Pacific,Singapore,72,7.29
8.219.182.163,443,true,SIN,Asia Pacific,Singapore,73,7.11
8.219.231.91,443,true,SIN,Asia Pacific,Singapore,67,7.07
8.219.182.146,443,true,SIN,Asia Pacific,Singapore,63,7.06
8.222.132.152,443,true,SIN,Asia Pacific,Singapore,64,6.92
8.219.232.52,443,true,SIN,Asia Pacific,Singapore,65,6.89
8.219.203.32,443,true,SIN,Asia Pacific,Singapore,66,6.89
8.219.193.164,443,true,SIN,Asia Pacific,Singapore,65,6.86
8.219.184.215,443,true,SIN,Asia Pacific,Singapore,75,6.77
8.219.195.62,443,true,SIN,Asia Pacific,Singapore,69,6.71
8.219.181.233,443,true,SIN,Asia Pacific,Singapore,62,6.69
8.219.237.254,443,true,SIN,Asia Pacific,Singapore,66,6.64
8.222.133.231,443,true,SIN,Asia Pacific,Singapore,67,6.63
8.219.255.140,443,true,SIN,Asia Pacific,Singapore,70,6.53
193.123.234.217,443,true,ICN,Asia Pacific,Seoul,67,6.50
8.219.237.17,443,true,SIN,Asia Pacific,Singapore,67,6.48
8.219.158.207,443,true,SIN,Asia Pacific,Singapore,67,6.46
8.219.219.217,443,true,SIN,Asia Pacific,Singapore,59,6.44
8.219.173.198,443,true,SIN,Asia Pacific,Singapore,70,6.44
8.219.188.167,443,true,SIN,Asia Pacific,Singapore,61,6.39
8.219.219.204,443,true,SIN,Asia Pacific,Singapore,71,6.39
8.222.159.211,443,true,SIN,Asia Pacific,Singapore,72,6.34
8.222.180.155,443,true,SIN,Asia Pacific,Singapore,68,6.33
8.219.237.224,443,true,SIN,Asia Pacific,Singapore,76,6.32
8.222.162.20,443,true,SIN,Asia Pacific,Singapore,68,6.27
8.222.183.32,443,true,NRT,Asia Pacific,Tokyo,63,6.26
8.219.202.133,443,true,SIN,Asia Pacific,Singapore,67,6.23
131.186.17.205,443,true,ICN,Asia Pacific,Seoul,68,6.16
8.219.199.208,443,true,SIN,Asia Pacific,Singapore,61,6.15
8.219.172.60,443,true,SIN,Asia Pacific,Singapore,71,6.10
8.219.231.131,443,true,SIN,Asia Pacific,Singapore,65,6.10
47.245.117.250,443,true,SIN,Asia Pacific,Singapore,63,6.07
8.219.154.243,443,true,SIN,Asia Pacific,Singapore,62,6.06
8.222.171.112,443,true,SIN,Asia Pacific,Singapore,70,6.06
8.222.138.157,443,true,SIN,Asia Pacific,Singapore,70,6.06
8.219.244.61,443,true,SIN,Asia Pacific,Singapore,62,6.06
8.219.171.34,443,true,SIN,Asia Pacific,Singapore,65,6.05
8.222.184.73,443,true,SIN,Asia Pacific,Singapore,65,6.04
8.219.140.150,443,true,SIN,Asia Pacific,Singapore,72,6.02
47.236.106.200,443,true,SIN,Asia Pacific,Singapore,68,5.94
8.219.240.216,443,true,SIN,Asia Pacific,Singapore,69,5.89
8.219.180.224,443,true,SIN,Asia Pacific,Singapore,62,5.89
8.219.190.224,443,true,SIN,Asia Pacific,Singapore,69,5.87
8.219.240.212,443,true,SIN,Asia Pacific,Singapore,77,5.85
8.219.254.109,443,true,SIN,Asia Pacific,Singapore,63,5.85
8.219.156.209,443,true,SIN,Asia Pacific,Singapore,69,5.84
8.219.240.6,443,true,SIN,Asia Pacific,Singapore,69,5.78
8.219.210.132,443,true,SIN,Asia Pacific,Singapore,67,5.76
8.222.191.57,443,true,SIN,Asia Pacific,Singapore,64,5.76
47.236.4.211,443,true,SIN,Asia Pacific,Singapore,65,5.73
8.222.134.153,443,true,SIN,Asia Pacific,Singapore,67,5.71
8.219.193.106,443,true,SIN,Asia Pacific,Singapore,69,5.69
8.219.156.195,443,true,SIN,Asia Pacific,Singapore,64,5.66
8.219.238.190,443,true,SIN,Asia Pacific,Singapore,64,5.64
8.222.188.251,443,true,SIN,Asia Pacific,Singapore,70,5.59
8.219.162.141,443,true,SIN,Asia Pacific,Singapore,65,5.59
47.236.4.205,443,true,SIN,Asia Pacific,Singapore,72,5.58
8.219.140.63,443,true,SIN,Asia Pacific,Singapore,66,5.57
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,29,5.56
