IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,197,0.28
152.70.244.200,443,true,ICN,Asia Pacific,Seoul,62,0.28
146.56.188.240,443,true,ICN,Asia Pacific,Seoul,64,0.27
152.70.247.246,443,true,SIN,Asia Pacific,Singapore,257,0.25
217.142.141.52,443,true,ICN,Asia Pacific,Seoul,80,0.24
168.138.183.82,443,true,SIN,Asia Pacific,Singapore,113,0.22
8.222.155.146,443,true,SIN,Asia Pacific,Singapore,72,0.21
146.56.190.38,443,true,SIN,Asia Pacific,Singapore,274,0.21
18.183.125.149,443,true,NRT,Asia Pacific,Tokyo,63,0.19
146.56.186.106,443,true,ICN,Asia Pacific,Seoul,69,0.16
203.9.150.104,443,true,HKG,Asia Pacific,Hong Kong,117,0.13
47.91.18.127,443,true,NRT,Asia Pacific,Tokyo,37,0.13
193.123.244.59,443,true,ICN,Asia Pacific,Seoul,74,0.13
8.222.163.12,443,true,SIN,Asia Pacific,Singapore,72,0.13
132.226.236.214,443,true,ICN,Asia Pacific,Seoul,71,0.13
47.80.3.26,443,true,ICN,Asia Pacific,Seoul,188,0.12
47.76.222.146,443,true,HKG,Asia Pacific,Hong Kong,30,0.12
52.76.185.185,443,true,SIN,Asia Pacific,Singapore,64,0.12
52.141.25.42,443,true,ICN,Asia Pacific,Seoul,96,0.12
158.101.148.105,443,true,NRT,Asia Pacific,Tokyo,194,0.11
34.92.85.64,443,true,HKG,Asia Pacific,Hong Kong,197,0.10
150.230.58.195,443,true,KIX,Asia Pacific,Osaka,174,0.10
140.238.56.25,443,true,SIN,Asia Pacific,Singapore,242,0.09
18.183.250.242,443,true,NRT,Asia Pacific,Tokyo,38,0.09
141.98.198.197,443,true,NRT,Asia Pacific,Tokyo,44,0.08
47.76.190.53,443,true,HKG,Asia Pacific,Hong Kong,33,0.08
34.142.173.223,443,true,SIN,Asia Pacific,Singapore,204,0.08
47.76.182.87,443,true,HKG,Asia Pacific,Hong Kong,37,0.06
47.76.136.11,443,true,HKG,Asia Pacific,Hong Kong,33,0.06
47.83.245.101,443,true,HKG,Asia Pacific,Hong Kong,37,0.06
129.150.34.168,443,true,SIN,Asia Pacific,Singapore,110,0.06
146.56.148.64,443,true,ICN,Asia Pacific,Seoul,71,0.06
8.219.128.161,443,true,ICN,Asia Pacific,Seoul,63,0.04
47.236.182.155,443,true,SIN,Asia Pacific,Singapore,62,0.04
146.56.131.80,443,true,ICN,Asia Pacific,Seoul,94,0.04
38.47.102.135,443,true,HKG,Asia Pacific,Hong Kong,41,0.04
43.156.238.115,443,true,SIN,Asia Pacific,Singapore,67,0.04
47.236.206.73,443,true,SIN,Asia Pacific,Singapore,64,0.03
8.219.211.168,443,true,SIN,Asia Pacific,Singapore,60,0.03
47.236.122.29,443,true,SIN,Asia Pacific,Singapore,60,0.03
129.154.61.100,443,true,ICN,Asia Pacific,Seoul,1212,0.03
47.236.112.49,443,true,SIN,Asia Pacific,Singapore,62,0.03
47.236.188.121,443,true,SIN,Asia Pacific,Singapore,80,0.03
8.219.172.44,443,true,SIN,Asia Pacific,Singapore,67,0.03
129.150.48.166,443,true,SIN,Asia Pacific,Singapore,105,0.03
47.245.103.200,443,true,SIN,Asia Pacific,Singapore,71,0.03
47.236.194.255,443,true,SIN,Asia Pacific,Singapore,72,0.03
157.254.252.148,443,true,NRT,Asia Pacific,Tokyo,64,0.03
47.236.168.151,443,true,SIN,Asia Pacific,Singapore,68,0.03
8.219.159.91,443,true,SIN,Asia Pacific,Singapore,71,0.03
47.236.152.85,443,true,SIN,Asia Pacific,Singapore,73,0.03
8.219.195.23,443,true,SIN,Asia Pacific,Singapore,76,0.03
47.245.112.172,443,true,SIN,Asia Pacific,Singapore,74,0.03
8.219.132.230,443,true,SIN,Asia Pacific,Singapore,72,0.03
168.138.163.191,443,true,SIN,Asia Pacific,Singapore,105,0.02
130.162.131.97,443,true,ICN,Asia Pacific,Seoul,74,0.02
152.70.246.244,443,true,ICN,Asia Pacific,Seoul,64,0.02
47.236.170.96,443,true,SIN,Asia Pacific,Singapore,67,0.02
138.2.69.131,443,true,SIN,Asia Pacific,Singapore,110,0.02
38.47.124.75,443,true,NRT,Asia Pacific,Tokyo,43,0.02
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,195,0.02
146.56.148.5,443,true,ICN,Asia Pacific,Seoul,76,0.02
38.47.121.110,443,true,NRT,Asia Pacific,Tokyo,69,0.02
8.218.204.104,443,true,HKG,Asia Pacific,Hong Kong,38,0.02
168.138.44.186,443,true,KIX,Asia Pacific,Osaka,171,0.02
158.101.146.229,443,true,NRT,Asia Pacific,Tokyo,257,0.02
47.239.43.250,443,true,HKG,Asia Pacific,Hong Kong,35,0.02
193.123.238.198,443,true,ICN,Asia Pacific,Seoul,62,0.02
38.47.111.149,443,true,KIX,Asia Pacific,Osaka,72,0.02
8.219.230.102,443,true,SIN,Asia Pacific,Singapore,67,0.01
8.222.170.244,443,true,SIN,Asia Pacific,Singapore,65,0.01
54.251.103.15,443,true,SIN,Asia Pacific,Singapore,64,0.01
47.239.245.253,443,true,HKG,Asia Pacific,Hong Kong,41,0.01
168.138.47.86,443,true,KIX,Asia Pacific,Osaka,177,0.01
146.56.42.33,443,true,ICN,Asia Pacific,Seoul,72,0.01
168.138.197.97,443,true,NRT,Asia Pacific,Tokyo,1196,0.01
47.83.252.88,443,true,HKG,Asia Pacific,Hong Kong,34,0.01
47.76.166.145,443,true,HKG,Asia Pacific,Hong Kong,36,0.01
138.2.81.210,443,true,SIN,Asia Pacific,Singapore,104,0.01
