IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
47.76.176.19,443,true,HKG,Asia Pacific,Hong Kong,34,8.31
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,7.71
8.222.178.195,443,true,SIN,Asia Pacific,Singapore,67,7.40
8.222.155.66,443,true,SIN,Asia Pacific,Singapore,69,7.29
8.222.147.171,443,true,SIN,Asia Pacific,Singapore,63,7.25
8.222.148.153,443,true,SIN,Asia Pacific,Singapore,66,6.97
8.219.215.177,443,true,SIN,Asia Pacific,Singapore,67,6.86
8.219.253.85,443,true,SIN,Asia Pacific,Singapore,66,6.84
8.219.245.82,443,true,SIN,Asia Pacific,Singapore,69,6.84
8.219.165.124,443,true,SIN,Asia Pacific,Singapore,65,6.83
8.219.175.239,443,true,SIN,Asia Pacific,Singapore,72,6.80
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,29,6.80
8.219.172.209,443,true,SIN,Asia Pacific,Singapore,65,6.78
8.219.189.55,443,true,SIN,Asia Pacific,Singapore,68,6.76
8.219.196.93,443,true,SIN,Asia Pacific,Singapore,72,6.74
8.219.184.133,443,true,SIN,Asia Pacific,Singapore,64,6.74
8.219.255.28,443,true,SIN,Asia Pacific,Singapore,62,6.66
8.222.142.56,443,true,SIN,Asia Pacific,Singapore,66,6.63
8.219.201.19,443,true,SIN,Asia Pacific,Singapore,65,6.61
47.236.25.252,443,true,SIN,Asia Pacific,Singapore,73,6.58
8.219.201.229,443,true,SIN,Asia Pacific,Singapore,69,6.57
8.222.128.22,443,true,SIN,Asia Pacific,Singapore,64,6.49
8.222.146.206,443,true,SIN,Asia Pacific,Singapore,65,6.49
8.219.252.138,443,true,SIN,Asia Pacific,Singapore,67,6.48
8.219.223.120,443,true,SIN,Asia Pacific,Singapore,69,6.47
8.219.170.37,443,true,SIN,Asia Pacific,Singapore,68,6.46
47.236.17.213,443,true,SIN,Asia Pacific,Singapore,70,6.46
47.236.117.66,443,true,SIN,Asia Pacific,Singapore,61,6.43
8.219.223.189,443,true,SIN,Asia Pacific,Singapore,76,6.41
8.219.207.102,443,true,SIN,Asia Pacific,Singapore,67,6.41
8.219.206.126,443,true,SIN,Asia Pacific,Singapore,71,6.38
8.219.173.93,443,true,SIN,Asia Pacific,Singapore,66,6.33
8.219.218.31,443,true,SIN,Asia Pacific,Singapore,68,6.30
8.222.164.214,443,true,SIN,Asia Pacific,Singapore,69,6.22
193.122.101.195,443,true,ICN,Asia Pacific,Seoul,64,6.18
8.219.167.156,443,true,SIN,Asia Pacific,Singapore,68,6.17
8.219.239.38,443,true,SIN,Asia Pacific,Singapore,73,6.17
8.219.213.178,443,true,SIN,Asia Pacific,Singapore,72,6.17
8.219.187.251,443,true,SIN,Asia Pacific,Singapore,73,6.16
8.219.175.120,443,true,SIN,Asia Pacific,Singapore,76,6.06
8.222.158.251,443,true,SIN,Asia Pacific,Singapore,65,6.00
8.219.217.107,443,true,SIN,Asia Pacific,Singapore,72,5.99
146.56.128.34,443,true,ICN,Asia Pacific,Seoul,64,5.99
8.219.240.122,443,true,SIN,Asia Pacific,Singapore,64,5.97
8.219.186.103,443,true,SIN,Asia Pacific,Singapore,65,5.96
8.219.243.3,443,true,SIN,Asia Pacific,Singapore,69,5.96
8.219.192.82,443,true,SIN,Asia Pacific,Singapore,68,5.85
8.222.133.159,443,true,SIN,Asia Pacific,Singapore,68,5.80
8.219.208.40,443,true,SIN,Asia Pacific,Singapore,66,5.79
8.219.255.49,443,true,SIN,Asia Pacific,Singapore,76,5.74
8.219.202.43,443,true,SIN,Asia Pacific,Singapore,69,5.74
8.219.241.230,443,true,SIN,Asia Pacific,Singapore,68,5.65
8.219.198.222,443,true,SIN,Asia Pacific,Singapore,67,5.63
8.219.242.65,443,true,SIN,Asia Pacific,Singapore,64,5.61
8.219.211.57,443,true,SIN,Asia Pacific,Singapore,71,5.58
8.219.239.9,443,true,SIN,Asia Pacific,Singapore,66,5.56
146.56.155.213,443,true,ICN,Asia Pacific,Seoul,65,5.50
8.219.229.222,443,true,SIN,Asia Pacific,Singapore,63,5.25
8.219.236.236,443,true,SIN,Asia Pacific,Singapore,66,5.14
8.219.133.2,443,true,SIN,Asia Pacific,Singapore,66,5.12
130.162.146.166,443,true,ICN,Asia Pacific,Seoul,66,5.10
146.56.141.67,443,true,ICN,Asia Pacific,Seoul,69,5.08
193.123.254.17,443,true,ICN,Asia Pacific,Seoul,69,5.08
8.219.164.255,443,true,SIN,Asia Pacific,Singapore,72,5.06
8.222.162.45,443,true,SIN,Asia Pacific,Singapore,71,5.06
140.245.103.90,443,true,SIN,Asia Pacific,Singapore,247,4.95
8.219.165.203,443,true,SIN,Asia Pacific,Singapore,68,4.94
185.155.235.239,443,true,HKG,Asia Pacific,Hong Kong,140,4.84
8.222.168.85,443,true,SIN,Asia Pacific,Singapore,59,4.83
146.56.167.121,443,true,ICN,Asia Pacific,Seoul,66,4.73
8.219.228.39,443,true,SIN,Asia Pacific,Singapore,74,4.69
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,38,4.66
8.222.185.7,443,true,SIN,Asia Pacific,Singapore,62,4.53
146.56.142.78,443,true,ICN,Asia Pacific,Seoul,70,4.50
146.56.158.109,443,true,ICN,Asia Pacific,Seoul,71,4.08
8.222.187.131,443,true,SIN,Asia Pacific,Singapore,68,3.96
152.67.201.9,443,true,ICN,Asia Pacific,Seoul,202,3.95
8.219.143.163,443,true,SIN,Asia Pacific,Singapore,62,3.95
138.3.210.24,443,true,NRT,Asia Pacific,Tokyo,180,3.88
8.219.163.164,443,true,SIN,Asia Pacific,Singapore,67,3.70
8.219.129.187,443,true,SIN,Asia Pacific,Singapore,70,3.69
8.219.160.237,443,true,SIN,Asia Pacific,Singapore,70,3.68
54.199.222.232,443,true,NRT,Asia Pacific,Tokyo,67,3.63
8.219.156.237,443,true,SIN,Asia Pacific,Singapore,73,3.61
47.239.14.220,443,true,HKG,Asia Pacific,Hong Kong,33,3.52
8.219.135.136,443,true,SIN,Asia Pacific,Singapore,72,3.50
8.219.135.238,443,true,SIN,Asia Pacific,Singapore,70,3.46
